No,商品コード,商品名称,細分類コード,細分類名称,メーカーコード,メーカー名称,出現日,容量,年月,地区コード,地区名称,金額,数量,平均価格,金額／販売店千人,数量／販売店千人,数量／店,販売店率
17,4902105004135,日清　日清のどん兵衛　肉うどん　８７ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,87,2023年06月,980,全国,5014918,32827,152.77,159.039,1.041,63.13,51.95%
17,4902105004135,日清　日清のどん兵衛　肉うどん　８７ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,87,2023年07月,980,全国,5567409,37557,148.24,168.327,1.136,72.93,51.45%
17,4902105004135,日清　日清のどん兵衛　肉うどん　８７ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,87,2023年08月,980,全国,8151249,55815,146.04,241.963,1.657,108.38,51.45%
17,4902105004135,日清　日清のどん兵衛　肉うどん　８７ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,87,2023年09月,980,全国,6658493,44689,149.00,207.560,1.393,86.11,51.85%
17,4902105004135,日清　日清のどん兵衛　肉うどん　８７ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,87,2023年10月,980,全国,8645275,60478,142.95,253.184,1.771,112.41,53.75%
17,4902105004135,日清　日清のどん兵衛　肉うどん　８７ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,87,2023年11月,980,全国,8719294,61006,142.93,270.679,1.894,112.56,54.15%
17,4902105004135,日清　日清のどん兵衛　肉うどん　８７ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,87,2023年12月,980,全国,23650270,196297,120.48,645.604,5.359,351.79,55.74%
18,4902105242414,日清　カップヌードル　チリトマト　７６ｇ,111203,カップ麺,4902105,日清食品,2017年06月23日,76,2023年01月,980,全国,9835751,66532,147.83,211.408,1.430,86.86,76.52%
18,4902105242414,日清　カップヌードル　チリトマト　７６ｇ,111203,カップ麺,4902105,日清食品,2017年06月23日,76,2023年02月,980,全国,7837081,52633,148.90,176.815,1.187,68.98,76.22%
18,4902105242414,日清　カップヌードル　チリトマト　７６ｇ,111203,カップ麺,4902105,日清食品,2017年06月23日,76,2023年03月,980,全国,9312838,64039,145.42,189.073,1.300,83.93,76.22%
18,4902105242414,日清　カップヌードル　チリトマト　７６ｇ,111203,カップ麺,4902105,日清食品,2017年06月23日,76,2023年04月,980,全国,8245024,55803,147.75,171.322,1.160,74.01,75.32%
18,4902105242414,日清　カップヌードル　チリトマト　７６ｇ,111203,カップ麺,4902105,日清食品,2017年06月23日,76,2023年05月,980,全国,9110450,61795,147.43,185.265,1.257,82.95,74.43%
18,4902105242414,日清　カップヌードル　チリトマト　７６ｇ,111203,カップ麺,4902105,日清食品,2017年06月23日,76,2023年06月,980,全国,6205894,37384,166.00,132.326,0.797,50.72,73.63%
